rat,probe_serial,age_day
A230,17131308571,420
A241,18194823302,372
A241,18194823631,372
A242,17131311621,258
A243,18194824132,374
A249,18194819132,393
K265,17131311562,650
T170,619040823,450
T173,641252141,429
T176,619040938,493
T179,17131311342,505
T181,17131306102,238
T182,17131311881,244
T196,17131312042,409
T209,17131311352,370
T212,17131312432,459
T219,18194824092,523
T223,19051017162,528
T224,17131312432,520
T227,18194819542,557
T227,18194823381,514
T249,17131312432,338
