gain,noise_uV,amplification
0.942261560247738,6.33908754870931,250
0.938126558483649,7.37447064277619,250
0.930975459665356,6.93251201484815,250
0.947103388553837,8.53372928561681,250
0.937507823371666,5.82300852083162,250
0.935929830679453,5.89359258650234,250
0.936537146996903,6.53430446980779,250
0.925870680634007,5.68454168877846,250
0.933511958164405,6.86369502265285,250
0.939677674883947,5.56268739144848,250
0.945150241101072,6.22185735446154,250
0.934079614223939,6.66681750073707,250
0.941394189994494,6.37469904001429,250
0.942751055219132,6.06305470289263,250
0.957274800543827,5.49154369321239,250
0.947325259592334,6.03347774622483,250
0.941106278618396,6.14265684453286,250
0.945741406451596,6.49078981977995,250
0.93394055458469,6.20808448237076,250
0.93296320846996,6.04803173572721,250
0.943069216302856,7.16797834977484,250
0.940481080505741,5.6608907905138,250
0.937926759476051,5.59833210907915,250
0.941314963847985,9.13137499977295,250
0.945552310812569,6.06877799594867,250
0.947197553671076,6.7451553325072,250
0.939046193105428,6.65852027982103,250
0.94659963202938,6.8975769632587,250
0.941565940560927,5.84616628902766,250
0.946534906222168,5.98874116718008,250
0.92665492947598,5.93723766654639,250
0.936168921401673,7.34045957769509,250
0.941357407574368,7.66753534893332,250
0.937492247469873,6.29274419339283,250
0.939111825363052,6.88610061397018,250
0.939758400068345,5.9176026263548,250
0.940670994011782,6.19265307874194,250
0.950827708214506,6.27856710319932,250
0.931501773512242,6.33528399217931,250
0.95704060361739,6.14489825438182,250
0.933176313965267,6.15528199791568,250
0.944122776027532,6.39073418992675,250
0.944808110533369,6.30105553189559,250
0.943435165763508,6.48450690623176,250
0.934396120031769,6.00939083905208,250
0.935163621241832,8.54504195388176,250
0.941187099722729,5.78151204627221,250
0.944570401532853,6.51509045477333,250
0.934840030443453,6.98141066373132,250
0.943067572085261,6.26193578689718,250
0.936655818585501,6.03162306153613,250
0.943062720860241,6.6752313858695,250
0.937737764090691,6.743027088916,250
0.942080298362467,6.15841967632558,250
0.944341103467828,6.2982104840353,250
0.941839381570228,6.93732380464239,250
0.941568000605829,6.10229067245693,250
0.949458645520747,6.17189329239918,250
0.942301367325987,5.85211767231814,250
0.946438455290112,5.35577137544173,250
0.956849336336055,5.68803170396182,250
0.955966295170971,6.25426042270786,250
0.937515029874315,7.65743341426665,250
0.93883237412434,6.34026901232443,250
0.941167482512795,6.28856516518581,250
0.938743358719352,8.19824853412362,250
0.936896167195589,5.96456049960965,250
0.941276955128118,16.0805333960323,250
0.935335686377727,8.39633925699041,250
0.946928561202095,6.26500815466428,250
0.93638398947656,6.14473258472264,250
0.946407204072284,6.19536311013388,250
0.938884105903942,7.01881826523404,250
0.941659707943558,6.54841755036435,250
0.937649139522219,6.72483894096983,250
0.940997213405015,6.72032642468026,250
0.933400896539533,7.33759410216174,250
0.942367537879829,6.02576962094152,250
0.930208365411272,7.22602394596827,250
0.94421201362988,6.4771963755295,250
0.93711609095769,6.45313606390564,250
0.947971133521421,5.65142158135709,250
0.947389546065106,6.75956466970489,250
0.949056381621823,5.62851100184237,250
0.939507326480449,6.44861157166802,250
0.949298209238834,5.68786041196046,250
0.931548231830402,6.59155304241098,250
0.946735301221336,7.46719226744392,250
0.9380038120903,6.67658596709789,250
