recording_name,rat_name,date,channel_map,reference,used_in_chronic_npx_ms,cells_file,task,notes,probe serial number,ap.bin SHA1,sorted,perturbation,artifacts,representative behavior session,approximate duration (s)
A241_bank0_2020_01_13,A241,2019_01_13,bank0,,1,X:\RATTER\PhysData\NP_sorted\Adrian\A241\A241_bank0_2020_01_13\A241_bank0_2020_01_13_g0\A241_bank0_2020_01_13_g0_imec0\spikesort_2020_03_12_12_04_36_ks2jrc\A241_bank0_2020_01_13_g0_t0.imec0.ap_not_curated.Cells.mat,idle,,18194823631,,1,,,,
A241_bank0_2020_01_17,A241,2019_01_17,bank0,,1,X:\RATTER\PhysData\NP_sorted\Adrian\A241\A241_bank0_2020_01_17\A241_bank0_2020_01_17_g0\spikesort_2020_03_12_12_58_51_ks2jrc\A241_bank0_2020_01_17_g0_t0.imec0.ap_not_curated.Cells.mat,idle,,18194823631,,1,,,,
A241_bank0_2020_01_29,A241,2019_01_29,bank0,,1,X:\RATTER\PhysData\NP_sorted\Adrian\A241\A241_bank0_2020_01_29\A241_bank0_2020_01_29_g0\A241_bank0_2020_01_29_g0_imec0\spikesort_2020_03_12_13_03_39_ks2jrc\A241_bank0_2020_01_29_g0_t0.imec0.ap_not_curated.Cells.mat,idle,,18194823631,,1,,,,
A241_bank1_2020_01_13,A241,2019_01_13,bank1,,1,X:\RATTER\PhysData\NP_sorted\Adrian\A241\A241_bank1_2020_01_13\A241_bank1_2020_01_13_g0\A241_bank1_2020_01_13_g0_imec0\spikesort_2020_03_12_13_07_37_ks2jrc\A241_bank1_2020_01_13_g0_t0.imec0.ap_not_curated.Cells.mat,idle,,18194823631,,1,,,,
A241_bank1_2020_01_17,A241,2019_01_17,bank1,,1,X:\RATTER\PhysData\NP_sorted\Adrian\A241\A241_bank1_2020_01_17\A241_bank1_2020_01_17_g0\spikesort_2020_03_12_13_15_23_ks2jrc\A241_bank1_2020_01_17_g0_t0.imec0.ap_not_curated.Cells.mat,idle,,18194823631,,1,,,,
A241_bank1_2020_01_29,A241,2019_01_29,bank1,,1,X:\RATTER\PhysData\NP_sorted\Adrian\A241\A241_bank1_2020_01_29\A241_bank1_2020_01_29_g0\A241_bank1_2020_01_29_g0_imec0\spikesort_2020_03_12_13_22_43_ks2jrc\A241_bank1_2020_01_29_g0_t0.imec0.ap_not_curated.Cells.mat,idle,,18194823631,,1,,,,
A241_bank2_2019_09_30,A241,2019_09_30,bank2,,0,X:\RATTER\PhysData\NP_sorted\Adrian\A241\A241_bank2_2019_09_30\2019-09-30_g0\2019-09-30_g0_imec0\spikesort_2020_01_10_11_26_36_ks2jrc\2019-09-30_g0_t0.imec0.ap_res.Cells.mat,idle,reasonably good number of cells. super low noise. but no trials :( also i didn't start recording until a few violation trials in so things may crash. but no trials anyway so it doesn't matter. maybe not surprising since first day back since break due to lab cleanup). absolutely nothing until channel 110 on bank 0. bank 1 has most of the cells now. bank 0 has basically nothing. and the most superficial cells are all gone. i think the best arrangement going forward is lowest electrode being 110 bank 0 checkerboard.,18194823631,,1,,,,
"A241_banks0,1checkerboard_2019_09_23",A241,2019_09_23,"banks0,1checkerboard",,0,,idle,,18194823302,,1,,,,
"A241_banks0,1checkerboard_2019_09_30",A241,2019_09_30,"banks0,1checkerboard",,0,,idle,reasonably good number of cells. super low noise. but no trials :( also i didn't start recording until a few violation trials in so things may crash. but no trials anyway so it doesn't matter. maybe not surprising since first day back since break due to lab cleanup). absolutely nothing until channel 110 on bank 0. bank 1 has most of the cells now. bank 0 has basically nothing. and the most superficial cells are all gone. i think the best arrangement going forward is lowest electrode being 110 bank 0 checkerboard.,18194823631,,1,,,,
A242_2019_05_30,A242,2019_05_30,bank0,0,1,X:\RATTER\PhysData\NP_sorted\Adrian\A242\A242_2019_05_30\spikesort_2019_06_01_11_16_50_ks2jrc\2019-05-30_g0_t0.imec0.ap_res_uncurated.Cells.mat,PBups,,17131311621,77EDDCD7BF3CDE30F273D9E0549F0A617EA17597,1,,,1,
A242_2019_05_31,A242,2019_05_31,bank0,0,0,,PBups,,17131311621,8832F0DDA8270D43EAA9A181DBC0CF36EDB52569,1,,,1,
A242_2019_06_03,A242,2019_06_03,bank0,0,0,,PBups,,17131311621,16D22F1D3559C3DDD5F1451DBE11EF57E602F19C,1,,,1,
A242_2019_06_04,A242,2019_06_04,bank1,0,1,X:\RATTER\PhysData\NP_sorted\Adrian\A242\A242_2019_06_04\2019-06-04_g0_imec0\spikesort_2020_03_12_12_48_59_ks2jrc\2019-06-04_g0_t0.imec0.ap_not_curated.Cells.mat,PBups,,17131311621,F3D3B65C2555C7F0221B834ECC4E67124001CC05,0,,,,
A242_2019_06_05,A242,2019_06_05,bank0,1,1,X:\RATTER\PhysData\NP_sorted\Adrian\A242\A242_2019_06_05\2019-06-05_g0_imec0\spikesort_2020_03_06_13_21_12_ks2jrc\2019-06-05_g0_t0.imec0.ap_not_curated.Cells.mat,PBups,,17131311621,71219F236937478527077F25B32018E63C575A19,0,,,,
A242_2019_06_06,A242,2019_06_06,bank0,0,0,,PBups,,17131311621,5B38E6EEC616625ACA8942DBC5D4891ECC3AEEC2,1,,,1,
A242_2019_06_07,A242,2019_06_07,bank0,0,0,,PBups,,17131311621,79ECDF9D0A3D02202355B205B27F166388013F39,1,,,,
A242_2019_06_10,A242,2019_06_10,bank0,0,0,,PBups,not enough cells (<20) after this date for sorting to be worth it,17131311621,51701719F74322E50500AF0EDDDD19F0942C46BC,1,,,1,
A242_2019_06_11,A242,2019_06_11,bank1,1,1,X:\RATTER\PhysData\NP_sorted\Adrian\A242\A242_2019_06_11\2019-06-11_g0_imec0\spikesort_2020_02_27_15_36_39_ks2jrc\2019-06-11_g0_t0.imec0.ap_not_curated.Cells.mat,PBups,,17131311621,EBE0F38155049D622C52B7E87C49C042806C78B8,1,,,,
