recording_name,rat_name,date,channel_map,reference,used_in_chronic_npx_ms,cells_file,task,notes,probe serial number,ap.bin SHA1,sorted,perturbation,artifacts,representative behavior session,approximate duration (s)
A243_bank1_2019_09_13_18194824132,A243,2019_09_13,bank1,,1,X:\RATTER\PhysData\NP_sorted\Adrian\A243\A243_bank1_2019_09_13_18194824132\2019-09-13_g0\spikesort_2020_02_03_14_08_49_ks2jrc\2019-09-13_g0_t0.imec0.ap_not_curated.Cells.mat,idle,day of implant,18194824132,,1,,,,
A243_bank1_2019_09_16_18194823211,A243,2019_09_16  ,bank1,,0,,idle,,18194823211,,1,,,,
A243_bank1_2019_09_16_18194824132,A243,2019_09_16  ,bank1,,1,X:\RATTER\PhysData\NP_sorted\Adrian\A243\A243_bank1_2019_09_16_18194824132\2019-09-16_g0_imec0\spikesort_2019_09_20_16_13_21_ks2jrc\2019-09-16_g0_t0.imec0.ap_res.Cells.mat,idle,,18194824132,,1,,,,
A243_bank1_2019_09_26,A243,2019_09_26  ,bank1,,1,X:\RATTER\PhysData\NP_sorted\Adrian\A243\A243_bank1_2019_09_26\2019-09-26_g0_imec0\spikesort_2019_11_01_14_23_31_ks2jrc\2019-09-26_g0_t0.imec0.ap_res.Cells.mat,idle,lots of cells,18194824132,,1,,,,
A243_bank1_2019_10_01,A243,2019_10_01,bank1,,1,X:\RATTER\PhysData\NP_sorted\Adrian\A243\A243_bank1_2019_10_01\2019-10-01_g0_imec0\spikesort_2019_12_19_14_20_21_ks2jrc\2019-10-01_g0_t0.imec0.ap_res.Cells.mat,idle,much better noise. still reduced the gain by half from the normal amount (250/125) but no saturation. this was probabl due to connecting rig to ground. but actually i think even better is just connecting floor grate to the rig. doing this for the ten min recordings was beautiful. bank 2 very quiet except for maybe th efirst ten chans.,18194824132,,1,,,,
A243_bank1_2019_10_28,A243,2019_10_28,bank1,,0,,anaesthetized,,18194824132,,1,,,,
A243_bank2_2019_09_13_18194823211,A243,2019_09_13,bank2,,0,,idle,day of implant,18194823211,,1,,,,
A243_bank2_2019_09_13_18194824132,A243,2019_09_13,bank2,,0,,idle,day of implant,18194824132,,1,,,,
A243_bank2_2019_09_16_18194823211,A243,2019_09_16,bank2,,0,,idle,day of implant,18194823211,,1,,,,
A243_bank2_2019_10_01,A243,2019_10_01,bank2,,0,,idle,much better noise. still reduced the gain by half from the normal amount (250/125) but no saturation. this was probabl due to connecting rig to ground. but actually i think even better is just connecting floor grate to the rig. doing this for the ten min recordings was beautiful. bank 2 very quiet except for maybe th efirst ten chans.,18194824132,,1,,,,
A243_bank2_2019_09_26,A243,2019_09_26  ,bank2,,0,,idle,lots of cells,18194824132,,1,,,,
A243_bank2_2019_10_09,A243,2019_10_09,bank2,,0,,idle,BANK 2 FOR A243 IS BARELY IN THE BRAIN. NOT REALLY WORTH ANALYZING.,18194824132,,1,,,,
A243_bank2_2019_10_28,A243,2019_10_28,bank2,,,,anaesthetized,,18194824132,,1,,,,
"A243_banks0,1checkerboard_2019_09_16_18194823211",A243,2019_09_16,"banks0,1checkerboard",,,,idle,day of implant,18194823211,,1,,,,
